NACA 6412
 1.00000     0.00091
 0.99280     0.00286
 0.97989     0.00637
 0.96352     0.01084
 0.94455     0.01600
 0.92350     0.02161
 0.90075     0.02739
 0.87658     0.03302
 0.85123     0.03825
 0.82489     0.04292
 0.79774     0.04702
 0.76991     0.05060
 0.74154     0.05374
 0.71275     0.05651
 0.68365     0.05897
 0.65434     0.06116
 0.62492     0.06309
 0.59547     0.06472
 0.56607     0.06603
 0.53680     0.06705
 0.50774     0.06779
 0.47895     0.06826
 0.45050     0.06845
 0.42246     0.06837
 0.39488     0.06803
 0.36782     0.06741
 0.34135     0.06653
 0.31551     0.06538
 0.29035     0.06399
 0.26594     0.06235
 0.24231     0.06048
 0.21951     0.05839
 0.19760     0.05610
 0.17661     0.05361
 0.15660     0.05094
 0.13760     0.04810
 0.11965     0.04511
 0.10280     0.04199
 0.08709     0.03875
 0.07256     0.03540
 0.05924     0.03197
 0.04717     0.02847
 0.03639     0.02492
 0.02694     0.02137
 0.01885     0.01768
 0.01215     0.01429
 0.00688     0.01033
 0.00308     0.00724
 0.00078     0.00347
 0.00000     0.00009
 0.00078    -0.00321
 0.00308    -0.00666
 0.00688    -0.00905
 0.01215    -0.01203
 0.01885    -0.01417
 0.02694    -0.01638
 0.03639    -0.01826
 0.04717    -0.01992
 0.05924    -0.02137
 0.07256    -0.02259
 0.08709    -0.02359
 0.10280    -0.02437
 0.11965    -0.02494
 0.13760    -0.02531
 0.15660    -0.02547
 0.17661    -0.02544
 0.19760    -0.02522
 0.21951    -0.02482
 0.24231    -0.02424
 0.26594    -0.02351
 0.29035    -0.02262
 0.31551    -0.02158
 0.34135    -0.02040
 0.36782    -0.01908
 0.39488    -0.01763
 0.42246    -0.01606
 0.45050    -0.01439
 0.47895    -0.01261
 0.50774    -0.01075
 0.53680    -0.00883
 0.56607    -0.00686
 0.59547    -0.00488
 0.62492    -0.00294
 0.65434    -0.00104
 0.68365     0.00081
 0.71275     0.00260
 0.74154     0.00423
 0.76991     0.00563
 0.79774     0.00668
 0.82489     0.00726
 0.85123     0.00728
 0.87658     0.00670
 0.90075     0.00562
 0.92350     0.00423
 0.94455     0.00278
 0.96352     0.00145
 0.97989     0.00034
 0.99280    -0.00048
 1.00000    -0.00091
